2-theta,Intensity
4.19000,0.00964
4.20000,0.00960
4.21000,0.00956
4.22000,0.00952
4.23000,0.00948
4.24000,0.00945
4.25000,0.00941
4.26000,0.00937
4.27000,0.00933
4.28000,0.00930
4.29000,0.00926
4.30000,0.00922
4.31000,0.00919
4.32000,0.00915
4.33000,0.00912
4.34000,0.00908
4.35000,0.00905
4.36000,0.00901
4.37000,0.00898
4.38000,0.00894
4.39000,0.00891
4.40000,0.00887
4.41000,0.00884
4.42000,0.00881
4.43000,0.00877
4.44000,0.00874
4.45000,0.00871
4.46000,0.00867
4.47000,0.00864
4.48000,0.00861
4.49000,0.00858
4.50000,0.00854
4.51000,0.00851
4.52000,0.00848
4.53000,0.00845
4.54000,0.00842
4.55000,0.00839
4.56000,0.00836
4.57000,0.00833
4.58000,0.00830
4.59000,0.00827
4.60000,0.00824
4.61000,0.00821
4.62000,0.00818
4.63000,0.00815
4.64000,0.00812
4.65000,0.00809
4.66000,0.00806
4.67000,0.00803
4.68000,0.00800
4.69000,0.00798
4.70000,0.00795
4.71000,0.00792
4.72000,0.00789
4.73000,0.00786
4.74000,0.00784
4.75000,0.00781
4.76000,0.00778
4.77000,0.00776
4.78000,0.00773
4.79000,0.00770
4.80000,0.00768
4.81000,0.00765
4.82000,0.00762
4.83000,0.00760
4.84000,0.00757
4.85000,0.00755
4.86000,0.00752
4.87000,0.00750
4.88000,0.00747
4.89000,0.00745
4.90000,0.00742
4.91000,0.00740
4.92000,0.00737
4.93000,0.00735
4.94000,0.00732
4.95000,0.00730
4.96000,0.00727
4.97000,0.00725
4.98000,0.00723
4.99000,0.00720
5.00000,0.00718
5.01000,0.00716
5.02000,0.00713
5.03000,0.00711
5.04000,0.00709
5.05000,0.00706
5.06000,0.00704
5.07000,0.00702
5.08000,0.00700
5.09000,0.00697
5.10000,0.00695
5.11000,0.00693
5.12000,0.00691
5.13000,0.00689
5.14000,0.00686
5.15000,0.00684
5.16000,0.00682
5.17000,0.00680
5.18000,0.00678
5.19000,0.00676
5.20000,0.00674
5.21000,0.00672
5.22000,0.00670
5.23000,0.00668
5.24000,0.00665
5.25000,0.00663
5.26000,0.00661
5.27000,0.00659
5.28000,0.00657
5.29000,0.00655
5.30000,0.00653
5.31000,0.00651
5.32000,0.00649
5.33000,0.00648
5.34000,0.00646
5.35000,0.00644
5.36000,0.00642
5.37000,0.00640
5.38000,0.00638
5.39000,0.00636
5.40000,0.00634
5.41000,0.00632
5.42000,0.00630
5.43000,0.00629
5.44000,0.00627
5.45000,0.00625
5.46000,0.00623
5.47000,0.00621
5.48000,0.00620
5.49000,0.00618
5.50000,0.00616
5.51000,0.00614
5.52000,0.00612
5.53000,0.00611
5.54000,0.00609
5.55000,0.00607
5.56000,0.00606
5.57000,0.00604
5.58000,0.00602
5.59000,0.00600
5.60000,0.00599
5.61000,0.00597
5.62000,0.00595
5.63000,0.00594
5.64000,0.00592
5.65000,0.00590
5.66000,0.00589
5.67000,0.00587
5.68000,0.00586
5.69000,0.00584
5.70000,0.00582
5.71000,0.00581
5.72000,0.00579
5.73000,0.00578
5.74000,0.00576
5.75000,0.00574
5.76000,0.00573
5.77000,0.00571
5.78000,0.00570
5.79000,0.00568
5.80000,0.00567
5.81000,0.00565
5.82000,0.00564
5.83000,0.00562
5.84000,0.00561
5.85000,0.00559
5.86000,0.00558
5.87000,0.00556
5.88000,0.00555
5.89000,0.00553
5.90000,0.00552
5.91000,0.00550
5.92000,0.00549
5.93000,0.00548
5.94000,0.00546
5.95000,0.00545
5.96000,0.00543
5.97000,0.00542
5.98000,0.00541
5.99000,0.00539
6.00000,0.00538
6.01000,0.00536
6.02000,0.00535
6.03000,0.00534
6.04000,0.00532
6.05000,0.00531
6.06000,0.00530
