##NAMES=Strontianite
##RRUFFID=R050476
##IDEAL CHEMISTRY=Sr(CO_3_)
##LOCALITY=Fidalgo Island, Puget Sound, Washington, USA
##OWNER=RRUFF
##SOURCE=California Institute of Technology
##DESCRIPTION=Aggregate of colorless spheres
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=https://www.rruff.net/odr/rruff_sample/R050476
##MEASURED CHEMISTRY=(Sr_0.86_Ca_0.14_)CO_3_
##DIFFRACTION SAMPLE DESCRIPTION=Powder
##CELL PARAMETERS=a: 5.0803 b: 8.362 c: 5.9863 alpha: 90 beta: 90 gamma: 90 volume: 254.32 crystal system: orthorhombic
##FILETYPE=RAW Powder Diffraction Profile

5, 34
5.01, 26
5.02, 30
5.03, 25
5.04, 34
5.05, 33
5.06, 23
5.07, 39
5.08, 27
5.09, 23
5.1, 24
5.11, 32
5.12, 32
5.13, 22
5.14, 27
5.15, 24
5.16, 24
5.17, 27
5.18, 31
5.19, 23
5.2, 37
5.21, 37
5.22, 25
5.23, 28
5.24, 26
5.25, 27
5.26, 16
5.27, 28
5.28, 29
5.29, 20
5.3, 20
5.31, 29
5.32, 28
5.33, 27
5.34, 31
5.35, 28
5.36, 29
5.37, 29
5.38, 31
5.39, 24
5.4, 30
5.41, 38
5.42, 24
5.43, 25
5.44, 38
5.45, 39
5.46, 25
5.47, 24
5.48, 27
5.49, 29
5.5, 33
5.51, 18
5.52, 26
5.53, 18
5.54, 20
5.55, 31
5.56, 27
5.57, 35
5.58, 33
5.59, 25
5.6, 32
5.61, 29
5.62, 23
5.63, 33
5.64, 27
5.65, 25
5.66, 22
5.67, 21
5.68, 40
5.69, 30
5.7, 27
5.71, 25
5.72, 32
5.73, 24
5.74, 23
5.75, 24
5.76, 20
5.77, 28
5.78, 29
5.79, 21
5.8, 32
5.81, 25
5.82, 19
5.83, 33
5.84, 35
5.85, 28
5.86, 15
5.87, 15
5.88, 22
5.89, 22
5.9, 27
5.91, 23
5.92, 21
5.93, 32
5.94, 25
5.95, 31
5.96, 19
5.97, 32
5.98, 32
5.99, 27
6, 17
6.01, 26
6.02, 26
6.03, 29
6.04, 29
6.05, 22
6.06, 17
6.07, 21
6.08, 25
6.09, 28
6.1, 22
6.11, 30
6.12, 23
6.13, 25
6.14, 17
6.15, 24
6.16, 20
6.17, 21
6.18, 25
6.19, 27
6.2, 22
6.21, 25
6.22, 26
6.23, 26
6.24, 20
6.25, 20
6.26, 22
6.27, 26
6.28, 27
6.29, 18
6.3, 19
6.31, 21
6.32, 21
6.33, 19
6.34, 15
6.35, 20
6.36, 26
6.37, 25
6.38, 32
6.39, 14
6.4, 25
6.41, 15
6.42, 23
6.43, 17
6.44, 16
6.45, 18
6.46, 28
6.47, 18
6.48, 21
6.49, 12
6.5, 26
6.51, 16
6.52, 19
6.53, 20
6.54, 18
6.55, 18
6.56, 21
6.57, 16
6.58, 19
6.59, 20
6.6, 20
6.61, 12
6.62, 21
6.63, 18
6.64, 15
6.65, 20
6.66, 18
6.67, 18
6.68, 18
6.69, 16
6.7, 14
6.71, 7
6.72, 19
6.73, 19
6.74, 23
6.75, 17
6.76, 7
6.77, 17
6.78, 25
6.79, 14
6.8, 10
6.81, 19
6.82, 19
6.83, 21
6.84, 20
6.85, 16
6.86, 21
6.87, 19
6.88, 12
6.89, 17
6.9, 11
6.91, 14
6.92, 14
6.93, 15
6.94, 18
6.95, 21
6.96, 24
6.97, 16
6.98, 21
6.99, 22
7, 15
7.01, 20
7.02, 15
7.03, 20
7.04, 16
7.05, 14
7.06, 10
7.07, 19
7.08, 14
7.09, 13
7.1, 12
7.11, 13
7.12, 13
7.13, 13
7.14, 24
7.15, 18
7.16, 11
7.17, 21
7.18, 9
7.19, 12
7.2, 16
7.21, 18
7.22, 10
7.23, 16
7.24, 16
7.25, 8
7.26, 18
7.27, 12
7.28, 12
7.29, 11
7.3, 24
7.31, 21
7.32, 19
7.33, 10
7.34, 19
7.35, 16
7.36, 21
7.37, 12
7.38, 15
7.39, 12
7.4, 21
7.41, 11
7.42, 20
7.43, 12
7.44, 20
7.45, 17
7.46, 13
7.47, 16
7.48, 14
7.49, 15
7.5, 12
7.51, 21
7.52, 17
7.53, 11
7.54, 14
7.55, 14
7.56, 18
7.57, 13
7.58, 9
7.59, 26
7.6, 17
7.61, 13
7.62, 18
7.63, 15
7.64, 17
7.65, 12
7.66, 12
7.67, 13
7.68, 15
7.69, 11
7.7, 18
7.71, 15
7.72, 11
7.73, 18
7.74, 14
7.75, 17
7.76, 15
7.77, 10
7.78, 18
7.79, 13
7.8, 18
7.81, 23
7.82, 11
7.83, 12
7.84, 22
7.85, 16
7.86, 15
7.87, 6
7.88, 15
7.89, 10
7.9, 15
7.91, 15
7.92, 14
7.93, 11
7.94, 16
7.95, 18
7.96, 16
7.97, 18
7.98, 14
7.99, 14
8, 19
8.01, 13
8.02, 7
8.03, 19
8.04, 19
8.05, 14
8.06, 13
8.07, 19
8.08, 11
8.09, 16
8.1, 18
8.11, 16
8.12, 14
8.13, 12
8.14, 14
8.15, 17
8.16, 16
8.17, 11
8.18, 14
8.19, 8
8.2, 15
8.21, 8
8.22, 7
8.23, 14
8.24, 10
8.25, 13
8.26, 14
8.27, 11
8.28, 12
8.29, 10
8.3, 12
8.31, 14
8.32, 12
8.33, 13
8.34, 16
8.35, 19
8.36, 12
8.37, 15
8.38, 7
8.39, 6
8.4, 11
8.41, 14
8.42, 9
8.43, 14
8.44, 9
8.45, 9
8.46, 15
8.47, 8
8.48, 10
